smiles,hit0,hit1
[H]OC([H])([H])[C@]12C([H])([H])C([H])([H])OC([H])([H])[C@]1([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C2([H])[H],x0501b,x0555a
[H]N1C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]([H])(C(=O)C([H])([H])[H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[C@]12C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H],x0501b,x0602a
[H]N1C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@](O)(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[H])C([H])([H])[C@]12C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H],x0501b,x0602b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0502a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@H]2C([H])SC([H])[C@H]3[C@@H](C2O)C([H])([H])C([H])([H])OC3([H])[H])c([H])c1[H],x0501b,x0502c
[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])[C@@H]2C([H])SC([H])[C@H]3[C@@H](C2O)C([H])([H])C([H])([H])OC3([H])[H])c1[H],x0501b,x0504a
[H]C(=O)C([H])([H])[C@]([H])([C@H]1N[C@@H](C([H])([H])OC([H])([H])C([H])([H])[H])C([H])S1)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],x0501b,x0504b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(N([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0634a
[H]O[C@]1(C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])N([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])C1([H])[H],x0501b,x0634b
[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],x0501b,x0646a
[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C#N,x0501b,x0654a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(C#N)C([H])([H])C2([H])[H])c([H])c1[H],x0501b,x0654b
[H]c1c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C#N,x0501b,x0654c
[H]c1c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])[H])c([H])c1[H],x0501b,x0759b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2[C@@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H],x0501b,x0759a
