smiles,template,compound_set,hit1
CC(C)NS(=O)(=O)Cc1ccc(CN)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0483a
CCCNS(=O)(=O)c1ccc([N+](=O)O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487b
CCCNS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487a
C#CCNS(=O)(=O)c1c(Cl)cccc1Cl,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639c
CCCOc1ccc(CN)cn1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634b
CC(C)Oc1ccc(C(=O)O)cn1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634b
CC(C)Oc1ncc(CO)cc1Cl,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634b
CC(C)Oc1ncc(C(=O)O)cc1Cl,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634b
CC(C)OC(=O)NS(=O)(=O)c1ccc([N+](=O)O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487a
CC(C)OC(=O)NCc1ccnc(Br)c1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0602a
CC(CS(N)(=O)=O)c1cccc(F)c1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472b
CC(C)S(=O)(=O)c1ccc(S(N)(=O)=O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487b
CCCS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487b
CCCS(=O)(=O)NCc1ccc(S(N)(=O)=O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487a
CCCS(=O)(=O)NCc1ccc(S(=O)(=O)F)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487a
CCCS(=O)(=O)N(C)Cc1ccc([S-3](C)O)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487b
CC(F)C1CCN(c2cnc(Br)cn2)CC1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0489a
